"","mice.pmm","mice.norm","mice.custom","mean","mipca","amelia","MF","MVN"
"1",4.51995685005394,4.42286947141316,4.37971952535059,4.37971952535059,4.47680690399137,4.48759439050701,4.33656957928803,4.45523193096009
"2",4.18554476806904,4.20711974110032,4.03451995685005,4.12081984897519,4.12081984897519,4.36893203883495,4.09924487594391,4.0453074433657
"3",4.28263214670982,4.1747572815534,4.73570658036677,4.33656957928803,4.40129449838188,4.34735706580367,4.26105717367853,4.33656957928803
"4",4.59546925566343,4.5091693635383,4.46601941747573,4.46601941747573,4.40129449838188,4.60625674217907,4.47680690399137,4.44444444444444
"5",4.74649406688242,4.41208198489752,4.61704422869471,4.44444444444444,4.88673139158576,4.72491909385113,4.34735706580367,4.25026968716289
"6",3.92664509169364,3.82955771305286,3.65695792880259,3.85113268608414,3.76483279395901,3.86192017259978,3.62459546925566,3.72168284789644
"7",4.35814455231931,4.5091693635383,4.37971952535059,4.45523193096009,4.22869471413161,4.40129449838188,4.31499460625674,4.41208198489752
"8",4.11003236245955,3.95900755124056,4.06688241639698,3.88349514563107,4.15318230852211,4.29341963322546,3.85113268608414,3.93743257820928
"9",4.03451995685005,3.98058252427184,4.22869471413161,3.88349514563107,4.03451995685005,4.0453074433657,3.98058252427184,3.95900755124056
"10",4.20711974110032,4.32578209277238,4.1747572815534,4.16396979503776,4.4336569579288,4.22869471413161,4.13160733549083,4.21790722761596
"11",4.08845738942826,4.11003236245955,4.0453074433657,3.99137001078749,4.09924487594391,4.01294498381877,3.92664509169364,3.89428263214671
"12",4.07766990291262,4.31499460625674,4.33656957928803,4.23948220064725,4.36893203883495,4.15318230852211,4.18554476806904,4.19633225458468
"13",4.41208198489752,4.44444444444444,4.29341963322546,4.36893203883495,4.23948220064725,4.37971952535059,4.23948220064725,4.23948220064725
"14",3.74325782092772,3.81877022653722,3.78640776699029,3.61380798274002,3.89428263214671,3.76483279395901,3.85113268608414,3.81877022653722
"15",4.01294498381877,4.12081984897519,4.18554476806904,4.14239482200647,4.19633225458468,4.02373247033441,4.03451995685005,4.16396979503776
"16",4.34735706580367,4.41208198489752,4.47680690399137,4.15318230852211,4.14239482200647,4.18554476806904,4.0453074433657,4.16396979503776
"17",4.28263214670982,4.27184466019417,4.33656957928803,4.26105717367853,4.48759439050701,4.23948220064725,4.32578209277238,4.06688241639698
"18",4.11003236245955,3.89428263214671,4.1747572815534,4.0453074433657,3.93743257820928,4.02373247033441,4.13160733549083,4.08845738942826
"19",4.21790722761597,3.99137001078749,4.20711974110032,4.40129449838188,4.33656957928803,4.23948220064725,4.27184466019417,4.22869471413161
"20",3.98058252427184,3.86192017259978,4.18554476806904,3.76483279395901,3.8403451995685,3.86192017259978,3.86192017259978,3.80798274002157
"21",4.00215749730313,3.91585760517799,3.8403451995685,3.95900755124056,3.95900755124056,3.88349514563107,3.90507011866235,3.79719525350593
"22",4.21790722761596,4.0992448759439,4.34735706580367,4.02373247033441,4.13160733549083,4.28263214670982,3.90507011866235,4.05609492988134
"23",4.20711974110032,4.05609492988134,3.98058252427184,4.16396979503776,4.15318230852211,4.1747572815534,4.01294498381877,4.03451995685005
"24",4.22869471413161,4.03451995685005,4.42286947141316,4.14239482200647,4.25026968716289,3.99137001078749,4.18554476806904,4.12081984897519
