"","allCols","predCols","withY","noBMI","mean","completeCases","fullJoint","RF","SVM","allNeg","allPos","c1","c3","c4","c5","c6","doctor","SAEM","pos.w"
"1",0.929685201529862,0.929685201529862,0.929685201529862,0.929685201529862,0.923801117975875,0.929685201529862,0.929685201529862,0.900264783759929,0.929685201529862,0.929685201529862,0.929685201529862,0.929685201529862,0,0.929685201529862,0.929685201529862,0.888496616651956,0.929685201529862,0.929685201529862,0.1
"2",1.70442286947141,1.70442286947141,1.70442286947141,1.70442286947141,1.69363538295577,1.70442286947141,1.70442286947141,1.6504854368932,1.70442286947141,1.70442286947141,1.70442286947141,1.70442286947141,0,1.70442286947141,1.70442286947141,1.62891046386192,1.70442286947141,1.70442286947141,0.2
"3",2.35997012696042,2.35997012696042,2.35997012696042,2.35997012696042,2.34503360716953,2.35997012696042,2.35997012696042,2.26039332835449,2.35997012696042,2.35997012696042,2.35997012696042,2.28030868807568,0,2.35997012696042,2.29026636793627,2.2554144884242,2.35997012696042,2.35997012696042,0.3
"4",2.92186777623671,2.92186777623671,2.92186777623671,2.92186777623671,2.90337494220989,2.92186777623671,2.92186777623671,2.7831715210356,2.90337494220989,2.92186777623671,2.92186777623671,2.46879334257975,0,2.92186777623671,2.63522884882108,2.7831715210356,2.92186777623671,2.92186777623671,0.4
"5",3.36569579288026,3.36569579288026,3.38727076591154,3.25782092772384,3.38727076591154,3.36569579288026,3.40884573894283,3.19309600862999,3.30097087378641,3.40884573894283,3.40884573894283,2.63214670981661,0,3.40884573894283,2.93419633225458,3.23624595469256,3.40884573894283,3.36569579288026,0.5
"6",3.62459546925566,3.61650485436893,3.69741100323625,3.51132686084142,3.70550161812298,3.69741100323625,3.74595469255663,3.51132686084142,3.63268608414239,3.83495145631068,3.83495145631068,2.77508090614887,0,3.83495145631068,3.1957928802589,3.63268608414239,3.82686084142395,3.65695792880259,0.6
"7",3.84922901199315,3.83780696744717,3.92918332381496,3.73500856653341,3.94822006472492,3.96344945745288,3.98629354654483,3.77308204835332,3.88730249381306,4.21092708928232,4.21092708928232,2.90119931467733,0,4.21092708928232,3.42661336379212,3.98248619836284,3.91014658290501,3.913953931087,0.7
"8",4.04171161452715,4.03451995685005,4.12081984897519,3.93383674937073,4.16396979503776,4.14958647968357,4.19992808342323,4.00575332614168,4.11362819129809,4.54512765192377,4.54512765192377,3.01330456670263,0,4.13520316432938,3.63178712693276,4.2358863718087,3.98417835311039,4.09205321826681,0.8
"9",4.21393289047862,4.21052631578947,4.28547095895077,4.11173564980412,4.35700902742293,4.31613013115313,4.39107477431443,4.21393289047862,4.31613013115313,4.84414920797139,4.84414920797139,3.11360926588315,0,3.91756089252257,3.81536365184807,4.44217339465168,4.05041730539942,4.22074603985692,0.9
"10",4.36893203883495,4.36893203883495,4.4336569579288,4.27184466019417,4.53074433656958,4.46601941747573,4.5631067961165,4.40129449838188,4.49838187702265,5.11326860841424,5.11326860841424,3.20388349514563,0,3.72168284789644,3.98058252427184,4.62783171521036,4.11003236245955,4.3042071197411,1
