"","mice.pmm","mice.norm","mice.custom","mean","mipca","amelia","MF","MVN"
"1",3.7108953613808,3.86192017259978,3.80798274002157,3.80798274002158,3.7108953613808,3.76483279395901,3.81877022653722,3.77562028047465
"2",4.26105717367853,4.35814455231931,4.44444444444444,4.32578209277238,4.26105717367853,4.33656957928803,4.32578209277238,4.27184466019417
"3",4.08845738942826,4.05609492988134,4.14239482200647,4.00215749730313,4.26105717367853,4.14239482200647,4.11003236245955,4.07766990291262
"4",3.7108953613808,3.8403451995685,3.74325782092772,3.63538295577131,3.79719525350593,3.66774541531823,3.65695792880259,3.62459546925566
"5",3.94822006472492,3.82955771305286,3.91585760517799,3.7108953613808,3.92664509169364,3.86192017259978,3.72168284789644,3.79719525350593
"6",3.86192017259978,3.81877022653722,3.81877022653722,3.64617044228695,4.11003236245955,3.7108953613808,3.68932038834951,3.74325782092772
"7",4.02373247033441,3.91585760517799,4.11003236245955,3.87270765911543,3.99137001078749,3.91585760517799,3.82955771305286,3.89428263214671
"8",4.58468176914779,4.81121898597627,4.8975188781014,4.7680690399137,4.86515641855448,4.85436893203883,4.7680690399137,4.74649406688242
"9",3.55987055016181,3.32254584681769,3.57065803667745,3.31175836030205,3.48435814455232,3.36569579288026,3.35490830636462,3.35490830636462
"10",3.79719525350593,3.70010787486516,3.61380798274002,3.43042071197411,3.88349514563107,3.53829557713053,3.44120819848975,3.39805825242718
"11",3.99137001078749,3.95900755124056,3.99137001078749,3.87270765911543,4.19633225458468,4.08845738942826,3.93743257820928,3.93743257820928
"12",3.99137001078749,4.15318230852211,4.14239482200647,4.06688241639698,3.94822006472492,4.12081984897519,4.12081984897519,4.12081984897519
"13",4.19633225458468,4.1747572815534,4.48759439050701,4.18554476806904,4.21790722761597,4.28263214670982,4.06688241639698,4.16396979503776
"14",4.44444444444444,4.34735706580367,4.41208198489752,4.35814455231931,4.44444444444444,4.57389428263215,4.44444444444444,4.35814455231931
"15",4.05609492988134,3.9697950377562,3.9697950377562,3.90507011866235,4.13160733549083,3.9697950377562,3.94822006472492,3.9697950377562
"16",3.57065803667745,3.66774541531823,3.78640776699029,3.57065803667745,3.66774541531823,3.73247033441208,3.60302049622438,3.62459546925566
"17",4.14239482200647,4.3042071197411,4.19633225458468,4.06688241639698,4.1747572815534,4.1747572815534,4.02373247033441,4.08845738942826
"18",4.06688241639698,4.14239482200647,4.19633225458468,4.12081984897519,4.11003236245955,4.22869471413161,4.16396979503776,4.1747572815534
"19",3.95900755124056,3.87270765911543,3.7108953613808,3.65695792880259,3.74325782092772,3.88349514563107,3.74325782092772,3.77562028047465
"20",3.85113268608414,3.89428263214671,3.82955771305286,3.85113268608414,3.80798274002158,3.88349514563107,3.7108953613808,3.73247033441208
"21",4.0453074433657,4.00215749730313,3.94822006472492,3.88349514563107,3.88349514563107,4.0453074433657,4.07766990291262,4.08845738942826
"22",3.99137001078749,4.08845738942826,4.09924487594391,3.82955771305286,4.22869471413161,3.98058252427184,3.92664509169364,3.9697950377562
"23",4.39050701186624,4.41208198489752,4.4336569579288,4.26105717367853,4.33656957928803,4.34735706580367,4.21790722761596,4.22869471413161
"24",4.49838187702265,4.75728155339806,4.71413160733549,4.55231930960086,4.638619201726,4.638619201726,4.44444444444444,4.46601941747573
"25",4.20711974110032,4.1747572815534,4.12081984897519,4.11003236245955,4.28263214670982,4.20711974110032,4.09924487594391,4.15318230852211
"26",3.91585760517799,4.02373247033441,3.91585760517799,3.81877022653722,4.01294498381877,3.92664509169364,3.95900755124056,3.95900755124056
"27",4.47680690399137,4.31499460625674,4.55231930960086,4.47680690399137,4.46601941747573,4.37971952535059,4.51995685005394,4.48759439050701
"28",4.22869471413161,4.00215749730313,4.15318230852211,4.00215749730313,4.39050701186624,4.05609492988134,4.0453074433657,4.03451995685005
