"","mice.pmm","mice.norm","mice.custom","mean","mipca","amelia","MF","MVN"
"1",4.31499460625674,4.66019417475728,4.58468176914779,4.4336569579288,4.58468176914779,4.71413160733549,4.53074433656958,4.5631067961165
"2",4.41208198489752,4.45523193096009,4.45523193096009,4.73570658036677,4.42286947141316,4.69255663430421,4.53074433656958,4.53074433656958
"3",4.47680690399137,4.59546925566343,4.7680690399137,4.5631067961165,4.64940668824164,4.75728155339806,4.54153182308522,4.7680690399137
"4",4.78964401294498,4.92988133764833,5.11326860841424,5.04854368932039,4.72491909385113,4.87594390507012,4.88673139158576,4.85436893203883
"5",5.14563106796117,5.1024811218986,5.19956850053937,4.77885652642934,5.17799352750809,5.16720604099245,4.91909385113269,5.01618122977346
"6",3.82955771305286,4.26105717367853,4.0453074433657,4.06688241639698,3.82955771305286,4.26105717367853,4.01294498381877,4.21790722761597
"7",4.73570658036677,4.59546925566343,4.59546925566343,4.70334412081985,4.64940668824164,4.83279395900755,4.638619201726,4.71413160733549
"8",4.31499460625674,4.37971952535059,4.33656957928803,4.11003236245955,4.29341963322546,4.39050701186624,4.3042071197411,4.3042071197411
"9",4.00215749730313,4.14239482200647,4.36893203883495,4.27184466019417,4.09924487594391,4.15318230852211,4.3042071197411,4.36893203883495
"10",4.57389428263215,4.68176914778857,4.82200647249191,4.53074433656958,4.67098166127292,4.55231930960086,4.41208198489752,4.55231930960086
"11",4.29341963322546,4.54153182308522,4.66019417475728,4.32578209277238,4.48759439050701,4.37971952535059,4.42286947141316,4.37971952535059
"12",4.44444444444444,4.75728155339806,4.55231930960086,4.78964401294498,4.74649406688242,4.85436893203883,4.69255663430421,4.67098166127292
"13",4.57389428263215,4.86515641855448,4.72491909385113,4.45523193096009,4.638619201726,4.67098166127292,4.60625674217907,4.34735706580367
"14",4.12081984897519,4.27184466019417,4.26105717367853,4.18554476806904,4.18554476806904,4.1747572815534,4.19633225458468,4.26105717367853
"15",4.07766990291262,4.28263214670982,4.54153182308522,4.32578209277238,4.46601941747573,4.33656957928803,4.27184466019417,4.22869471413161
"16",4.85436893203883,4.68176914778857,5.0269687162891,4.49838187702265,4.40129449838188,4.57389428263215,4.36893203883495,4.44444444444444
"17",4.31499460625674,4.68176914778856,4.66019417475728,4.60625674217907,4.53074433656958,4.80043149946063,4.61704422869471,4.5631067961165
"18",4.61704422869471,4.50916936353829,4.88673139158576,4.60625674217907,4.42286947141316,4.73570658036677,4.32578209277238,4.35814455231931
"19",4.82200647249191,4.87594390507012,5.08090614886731,4.82200647249191,4.95145631067961,4.73570658036677,4.96224379719525,4.88673139158576
"20",4.19633225458468,4.18554476806904,4.29341963322546,4.05609492988134,4.03451995685005,4.20711974110032,3.78640776699029,3.92664509169364
"21",4.33656957928803,4.7680690399137,4.72491909385113,4.28263214670982,4.48759439050701,4.44444444444444,4.4336569579288,4.39050701186624
"22",4.64940668824164,4.91909385113269,4.83279395900755,4.86515641855448,4.72491909385113,4.75728155339806,4.87594390507012,4.88673139158576
"23",4.78964401294498,4.61704422869471,4.33656957928803,4.62783171521036,4.59546925566343,4.72491909385113,4.62783171521036,4.72491909385113
"24",4.50916936353829,4.60625674217907,4.67098166127292,4.37971952535059,4.25026968716289,4.64940668824164,4.34735706580367,4.42286947141316
"25",4.68176914778856,5.12405609492988,4.92988133764833,4.74649406688242,4.7680690399137,5.19956850053937,4.98381877022654,4.87594390507012
